,Unnamed: 0,day,month,year,arena.city_Abu Dhabi,arena.city_Atlanta,arena.city_Austin,arena.city_Boston,arena.city_Brooklyn,arena.city_Charlotte,arena.city_Chicago,arena.city_Cleveland,arena.city_Dallas,arena.city_Denver,arena.city_Des Moines,arena.city_Detroit,arena.city_East Lansing,arena.city_Honolulu,arena.city_Houston,arena.city_Indianapolis,arena.city_Inglewood,arena.city_Las Vegas,arena.city_Los Angeles,arena.city_Memphis,arena.city_Mexico City,arena.city_Miami,arena.city_Milwaukee,arena.city_Minneapolis,arena.city_Montreal,arena.city_New Orleans,arena.city_New York,arena.city_Oceanside,arena.city_Oklahoma City,arena.city_Orlando,arena.city_Palm Springs,arena.city_Paris,arena.city_Philadelphia,arena.city_Phoenix,arena.city_Portland,arena.city_Sacramento,arena.city_Salt Lake City,arena.city_San Antonio,arena.city_San Francisco,arena.city_Seattle,arena.city_Toronto,arena.city_Tulsa,arena.city_Washington,teams.visitors.code_ATL,teams.visitors.code_BKN,teams.visitors.code_BNZ,teams.visitors.code_BOS,teams.visitors.code_CHA,teams.visitors.code_CHI,teams.visitors.code_CLE,teams.visitors.code_DAL,teams.visitors.code_DEN,teams.visitors.code_DET,teams.visitors.code_GSW,teams.visitors.code_HOU,teams.visitors.code_IND,teams.visitors.code_LAC,teams.visitors.code_LAL,teams.visitors.code_MEM,teams.visitors.code_MIA,teams.visitors.code_MIL,teams.visitors.code_MIN,teams.visitors.code_NOP,teams.visitors.code_NYK,teams.visitors.code_OKC,teams.visitors.code_ORL,teams.visitors.code_PHI,teams.visitors.code_PHX,teams.visitors.code_POR,teams.visitors.code_SAC,teams.visitors.code_SAS,teams.visitors.code_TOR,teams.visitors.code_UTA,teams.visitors.code_WAS,teams.home.code_ATL,teams.home.code_BKN,teams.home.code_BOS,teams.home.code_CHA,teams.home.code_CHI,teams.home.code_CLE,teams.home.code_DAL,teams.home.code_DEN,teams.home.code_DET,teams.home.code_GSW,teams.home.code_HOU,teams.home.code_IND,teams.home.code_LAC,teams.home.code_LAL,teams.home.code_MEM,teams.home.code_MIA,teams.home.code_MIL,teams.home.code_MIN,teams.home.code_NOP,teams.home.code_NYK,teams.home.code_OKC,teams.home.code_ORL,teams.home.code_PHI,teams.home.code_PHX,teams.home.code_POR,teams.home.code_SAC,teams.home.code_SAS,teams.home.code_TOR,teams.home.code_UTA,teams.home.code_WAS
246,246,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
247,247,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
248,248,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
249,249,16,11,2024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250,250,16,11,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
251,251,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
252,252,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
253,253,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,254,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
255,255,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
256,256,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
257,257,16,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
258,258,16,11,2024,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
